Date,Team1,Team2,Winner,Venue
6/18/2009,Pakistan,South Africa,Pakistan,Nottingham
6/19/2009,Sri Lanka,West Indies,Sri Lanka,The Oval
6/21/2009,Pakistan,Sri Lanka,Pakistan,Lord's
8/2/2009,West Indies,Bangladesh,West Indies,Basseterre
8/12/2009,Sri Lanka,Pakistan,Pakistan,Colombo (RPS)
8/30/2009,England,Australia,tied,Manchester
9/2/2009,Sri Lanka,New Zealand,New Zealand,Colombo (RPS)
9/4/2009,Sri Lanka,New Zealand,New Zealand,Colombo (RPS)
11/12/2009,New Zealand,Pakistan,Pakistan,Dubai (DICS)
11/13/2009,New Zealand,Pakistan,Pakistan,Dubai (DICS)
11/13/2009,South Africa,England,England,Johannesburg
11/15/2009,South Africa,England,South Africa,Centurion
12/9/2009,India,Sri Lanka,Sri Lanka,Nagpur
12/12/2009,India,Sri Lanka,India,Mohali
2/1/2010,Kenya,Scotland,Kenya,Nairobi (Gym)
2/1/2010,Afghanistan,Ireland,Ireland,Colombo (PSS)
2/3/2010,New Zealand,Bangladesh,New Zealand,Hamilton
2/3/2010,Canada,Ireland,Canada,Colombo (SSC)
2/4/2010,Kenya,Scotland,Kenya,Nairobi (Gym)
2/4/2010,Afghanistan,Canada,Afghanistan,Colombo (SSC)
2/5/2010,Australia,Pakistan,Australia,Melbourne
2/9/2010,Canada,Netherlands,Netherlands,Dubai (DICS)
2/9/2010,Afghanistan,Ireland,Afghanistan,Dubai (DICS)
2/10/2010,Canada,Kenya,Kenya,Dubai (DICS)
2/10/2010,Afghanistan,Scotland,Afghanistan,Abu Dhabi
2/11/2010,Ireland,Scotland,Ireland,Dubai (DICS)
2/11/2010,Kenya,Netherlands,Netherlands,Abu Dhabi
2/12/2010,Afghanistan,Netherlands,Netherlands,Dubai (DICS)
2/13/2010,Afghanistan,Ireland,Afghanistan,Dubai (DICS)
2/13/2010,Ireland,Netherlands,Ireland,Dubai (DICS)
2/19/2010,England,Pakistan,England,Dubai (DICS)
2/20/2010,England,Pakistan,Pakistan,Dubai (DICS)
2/21/2010,Australia,West Indies,Australia,Hobart
2/23/2010,Australia,West Indies,Australia,Sydney
2/26/2010,New Zealand,Australia,Australia,Wellington
2/28/2010,West Indies,Zimbabwe,Zimbabwe,Port of Spain
2/28/2010,New Zealand,Australia,tied,Christchurch
4/30/2010,West Indies,Ireland,West Indies,Providence
4/30/2010,New Zealand,Sri Lanka,New Zealand,Providence
5/1/2010,Bangladesh,Pakistan,Pakistan,Gros Islet
5/1/2010,Afghanistan,India,India,Gros Islet
5/2/2010,Australia,Pakistan,Australia,Gros Islet
5/2/2010,India,South Africa,India,Gros Islet
5/3/2010,West Indies,England,West Indies,Providence
5/3/2010,Sri Lanka,Zimbabwe,Sri Lanka,Providence
5/4/2010,England,Ireland,tied,Providence
5/4/2010,New Zealand,Zimbabwe,New Zealand,Providence
5/5/2010,Afghanistan,South Africa,South Africa,Bridgetown
5/5/2010,Australia,Bangladesh,Australia,Bridgetown
5/6/2010,New Zealand,South Africa,South Africa,Bridgetown
5/6/2010,England,Pakistan,England,Bridgetown
5/7/2010,West Indies,Sri Lanka,Sri Lanka,Bridgetown
5/7/2010,Australia,India,Australia,Bridgetown
5/8/2010,England,South Africa,England,Bridgetown
5/8/2010,New Zealand,Pakistan,New Zealand,Bridgetown
5/9/2010,Australia,Sri Lanka,Australia,Bridgetown
5/9/2010,West Indies,India,West Indies,Bridgetown
5/10/2010,England,New Zealand,England,Gros Islet
5/10/2010,Pakistan,South Africa,Pakistan,Gros Islet
5/11/2010,West Indies,Australia,Australia,Gros Islet
5/11/2010,India,Sri Lanka,Sri Lanka,Gros Islet
5/13/2010,England,Sri Lanka,England,Gros Islet
5/14/2010,Australia,Pakistan,Australia,Gros Islet
5/16/2010,Australia,England,England,Bridgetown
5/19/2010,West Indies,South Africa,South Africa,North Sound
5/20/2010,West Indies,South Africa,South Africa,North Sound
5/22/2010,New Zealand,Sri Lanka,New Zealand,Lauderhill
5/23/2010,New Zealand,Sri Lanka,Sri Lanka,Lauderhill
6/12/2010,Zimbabwe,India,India,Harare
6/13/2010,Zimbabwe,India,India,Harare
7/5/2010,Australia,Pakistan,Pakistan,Birmingham
7/6/2010,Australia,Pakistan,Pakistan,Birmingham
9/5/2010,England,Pakistan,England,Cardiff
9/7/2010,England,Pakistan,England,Cardiff
10/8/2010,South Africa,Zimbabwe,South Africa,Bloemfontein
10/10/2010,South Africa,Zimbabwe,South Africa,Kimberley
10/26/2010,Pakistan,South Africa,South Africa,Abu Dhabi
10/27/2010,Pakistan,South Africa,South Africa,Abu Dhabi
10/31/2010,Australia,Sri Lanka,Sri Lanka,Perth
12/26/2010,New Zealand,Pakistan,New Zealand,Auckland
12/28/2010,New Zealand,Pakistan,New Zealand,Hamilton
12/30/2010,New Zealand,Pakistan,Pakistan,Christchurch
1/9/2011,South Africa,India,India,Durban
1/12/2011,Australia,England,England,Adelaide
1/14/2011,Australia,England,Australia,Melbourne
4/21/2011,West Indies,Pakistan,West Indies,Gros Islet
6/4/2011,West Indies,India,India,Port of Spain
6/25/2011,England,Sri Lanka,Sri Lanka,Bristol
8/6/2011,Sri Lanka,Australia,Sri Lanka,Pallekele
8/8/2011,Sri Lanka,Australia,Sri Lanka,Pallekele
8/31/2011,England,India,England,Manchester
9/16/2011,Zimbabwe,Pakistan,Pakistan,Harare
9/18/2011,Zimbabwe,Pakistan,Pakistan,Harare
9/23/2011,England,West Indies,England,The Oval
9/25/2011,England,West Indies,West Indies,The Oval
10/11/2011,Bangladesh,West Indies,Bangladesh,Mirpur
10/13/2011,South Africa,Australia,Australia,Cape Town
10/15/2011,Zimbabwe,New Zealand,New Zealand,Harare
10/16/2011,South Africa,Australia,South Africa,Johannesburg
10/17/2011,Zimbabwe,New Zealand,New Zealand,Harare
10/29/2011,India,England,England,Eden Gardens
11/25/2011,Pakistan,Sri Lanka,Pakistan,Abu Dhabi
11/29/2011,Bangladesh,Pakistan,Pakistan,Mirpur
2/1/2012,Australia,India,Australia,Sydney
2/3/2012,Australia,India,India,Melbourne
2/11/2012,New Zealand,Zimbabwe,New Zealand,Auckland
2/14/2012,New Zealand,Zimbabwe,New Zealand,Hamilton
2/17/2012,New Zealand,South Africa,New Zealand,Wellington
2/19/2012,New Zealand,South Africa,South Africa,Hamilton
2/22/2012,Kenya,Ireland,Ireland,Mombasa
2/22/2012,New Zealand,South Africa,South Africa,Auckland
2/23/2012,England,Pakistan,Pakistan,Dubai (DICS)
2/23/2012,Kenya,Ireland,Ireland,Mombasa
2/24/2012,Kenya,Ireland,Ireland,Mombasa
2/25/2012,England,Pakistan,England,Dubai (DICS)
2/27/2012,England,Pakistan,England,Abu Dhabi
3/13/2012,Canada,Netherlands,Netherlands,Dubai (DICS)
3/13/2012,Kenya,Scotland,Scotland,ICCA Dubai
3/14/2012,Afghanistan,Netherlands,Afghanistan,Dubai (DICS)
3/14/2012,Ireland,Kenya,Ireland,Dubai (DICS)
3/18/2012,Afghanistan,Canada,Afghanistan,ICCA Dubai
3/18/2012,Ireland,Scotland,Ireland,Dubai (DICS)
3/22/2012,Canada,Ireland,Ireland,Dubai (DICS)
3/22/2012,Netherlands,Scotland,Netherlands,ICCA Dubai
3/23/2012,Canada,Scotland,Scotland,Dubai (DICS)
3/23/2012,Ireland,Netherlands,Ireland,Dubai (DICS)
3/24/2012,Afghanistan,Ireland,Ireland,Dubai (DICS)
3/27/2012,West Indies,Australia,Australia,Gros Islet
3/30/2012,West Indies,Australia,West Indies,Bridgetown
3/30/2012,South Africa,India,South Africa,Johannesburg
6/1/2012,Sri Lanka,Pakistan,Sri Lanka,Hambantota
