Date,Team1,Team2,Winner,Venue
1/8/2016,Afghanistan,Zimbabwe,Afghanistan,Sharjah
1/10/2016,Afghanistan,Zimbabwe,Afghanistan,Sharjah
1/10/2016,New Zealand,Sri Lanka,New Zealand,Auckland
1/15/2016,Bangladesh,Zimbabwe,Bangladesh,Khulna
1/15/2016,New Zealand,Pakistan,Pakistan,Auckland
1/17/2016,Bangladesh,Zimbabwe,Bangladesh,Khulna
1/17/2016,New Zealand,Pakistan,New Zealand,Hamilton
1/20/2016,Bangladesh,Zimbabwe,Zimbabwe,Khulna
1/22/2016,Bangladesh,Zimbabwe,Zimbabwe,Khulna
1/22/2016,New Zealand,Pakistan,New Zealand,Wellington
1/26/2016,Australia,India,India,Adelaide
1/29/2016,Australia,India,India,Melbourne
1/30/2016,Hong Kong,Scotland,Hong Kong,Mong Kok
1/31/2016,Australia,India,India,Sydney
1/31/2016,Hong Kong,Scotland,Scotland,Mong Kok
2/3/2016,U.A.E.,Netherlands,Netherlands,ICCA Dubai
2/4/2016,U.A.E.,Scotland,U.A.E.,ICCA Dubai
2/5/2016,Netherlands,Scotland,Scotland,ICCA Dubai
2/6/2016,Ireland,P.N.G.,Ireland,Townsville
2/7/2016,Ireland,P.N.G.,Ireland,Townsville
2/9/2016,India,Sri Lanka,Sri Lanka,Pune
2/9/2016,Ireland,P.N.G.,P.N.G.,Townsville
2/12/2016,India,Sri Lanka,India,Ranchi
2/14/2016,India,Sri Lanka,India,Visakhapatnam
2/14/2016,U.A.E.,Ireland,Ireland,Abu Dhabi
2/16/2016,U.A.E.,Ireland,U.A.E.,Abu Dhabi
2/19/2016,South Africa,England,South Africa,Cape Town
2/19/2016,Hong Kong,Oman,Oman,Fatullah
2/19/2016,Afghanistan,U.A.E.,U.A.E.,Fatullah
2/20/2016,Afghanistan,Oman,Afghanistan,Fatullah
2/21/2016,South Africa,England,South Africa,Johannesburg
2/21/2016,Hong Kong,U.A.E.,U.A.E.,Fatullah
2/22/2016,Oman,U.A.E.,U.A.E.,Mirpur
2/22/2016,Afghanistan,Hong Kong,Afghanistan,Mirpur
2/24/2016,Bangladesh,India,India,Mirpur
2/25/2016,Sri Lanka,U.A.E.,Sri Lanka,Mirpur
2/26/2016,Bangladesh,U.A.E.,Bangladesh,Mirpur
2/27/2016,India,Pakistan,India,Mirpur
2/28/2016,Bangladesh,Sri Lanka,Bangladesh,Mirpur
2/29/2016,Pakistan,U.A.E.,Pakistan,Mirpur
3/1/2016,India,Sri Lanka,India,Mirpur
3/2/2016,Bangladesh,Pakistan,Bangladesh,Mirpur
3/3/2016,India,U.A.E.,India,Mirpur
3/4/2016,South Africa,Australia,South Africa,Durban
3/4/2016,Pakistan,Sri Lanka,Pakistan,Mirpur
3/6/2016,Bangladesh,India,India,Mirpur
3/6/2016,South Africa,Australia,Australia,Johannesburg
3/8/2016,Afghanistan,Scotland,Afghanistan,Nagpur
3/8/2016,Hong Kong,Zimbabwe,Zimbabwe,Nagpur
3/9/2016,South Africa,Australia,Australia,Cape Town
3/9/2016,Ireland,Oman,Oman,Dharamsala
3/9/2016,Bangladesh,Netherlands,Bangladesh,Dharamsala
3/10/2016,Afghanistan,Hong Kong,Afghanistan,Nagpur
3/10/2016,Scotland,Zimbabwe,Zimbabwe,Nagpur
3/11/2016,Bangladesh,Ireland,tied,Dharamsala
3/11/2016,Netherlands,Oman,tied,Dharamsala
3/12/2016,Hong Kong,Scotland,Scotland,Nagpur
3/12/2016,Afghanistan,Zimbabwe,Afghanistan,Nagpur
3/13/2016,Bangladesh,Oman,Bangladesh,Dharamsala
3/13/2016,Ireland,Netherlands,Netherlands,Dharamsala
3/15/2016,India,New Zealand,New Zealand,Nagpur
3/16/2016,England,West Indies,West Indies,Wankhede
3/16/2016,Bangladesh,Pakistan,Pakistan,Eden Gardens
3/17/2016,Afghanistan,Sri Lanka,Sri Lanka,Eden Gardens
3/18/2016,England,South Africa,England,Wankhede
3/18/2016,Australia,New Zealand,New Zealand,Dharamsala
3/19/2016,India,Pakistan,India,Eden Gardens
3/20/2016,Sri Lanka,West Indies,West Indies,Bengaluru
3/20/2016,Afghanistan,South Africa,South Africa,Wankhede
3/21/2016,Australia,Bangladesh,Australia,Bengaluru
3/22/2016,New Zealand,Pakistan,New Zealand,Mohali
3/23/2016,India,Bangladesh,India,Bengaluru
3/23/2016,Afghanistan,England,England,Delhi
3/25/2016,South Africa,West Indies,West Indies,Nagpur
3/25/2016,Australia,Pakistan,Australia,Mohali
3/26/2016,England,Sri Lanka,England,Delhi
3/26/2016,Bangladesh,New Zealand,New Zealand,Eden Gardens
3/27/2016,India,Australia,India,Mohali
3/27/2016,Afghanistan,West Indies,Afghanistan,Nagpur
3/28/2016,South Africa,Sri Lanka,South Africa,Delhi
3/30/2016,England,New Zealand,England,Delhi
3/31/2016,India,West Indies,West Indies,Wankhede
4/3/2016,England,West Indies,West Indies,Eden Gardens
6/18/2016,Zimbabwe,India,Zimbabwe,Harare
6/20/2016,Zimbabwe,India,India,Harare
6/22/2016,Zimbabwe,India,India,Harare
7/5/2016,England,Sri Lanka,England,Southampton
8/27/2016,India,West Indies,West Indies,Lauderhill
8/28/2016,India,West Indies,tied,Lauderhill
9/5/2016,Ireland,Hong Kong,Hong Kong,Bready
9/6/2016,Sri Lanka,Australia,Australia,Pallekele
9/7/2016,England,Pakistan,Pakistan,Manchester
9/9/2016,Sri Lanka,Australia,Australia,Colombo (RPS)
9/23/2016,Pakistan,West Indies,Pakistan,Dubai (DICS)
9/24/2016,Pakistan,West Indies,Pakistan,Dubai (DICS)
9/27/2016,Pakistan,West Indies,Pakistan,Abu Dhabi
12/14/2016,U.A.E.,Afghanistan,Afghanistan,ICCA Dubai
12/16/2016,U.A.E.,Afghanistan,Afghanistan,Dubai (DICS)
12/18/2016,U.A.E.,Afghanistan,Afghanistan,ICCA Dubai
1/3/2017,New Zealand,Bangladesh,New Zealand,Napier
1/6/2017,New Zealand,Bangladesh,New Zealand,Mount Maunganui
1/8/2017,New Zealand,Bangladesh,New Zealand,Mount Maunganui
1/14/2017,Afghanistan,Ireland,Afghanistan,Abu Dhabi
1/14/2017,Hong Kong,Scotland,Scotland,Abu Dhabi
1/15/2017,Netherlands,Oman,Netherlands,Abu Dhabi
1/16/2017,U.A.E.,Afghanistan,Afghanistan,Abu Dhabi
1/16/2017,Hong Kong,Oman,Oman,Abu Dhabi
1/17/2017,Netherlands,Scotland,Scotland,Abu Dhabi
1/18/2017,Hong Kong,Netherlands,Hong Kong,Dubai (DICS)
1/18/2017,U.A.E.,Ireland,Ireland,Dubai (DICS)
1/19/2017,Oman,Scotland,Scotland,Dubai (DICS)
1/20/2017,South Africa,Sri Lanka,South Africa,Centurion
1/20/2017,Afghanistan,Ireland,Afghanistan,Dubai (DICS)
1/20/2017,Ireland,Scotland,Ireland,Dubai (DICS)
1/20/2017,Afghanistan,Oman,Afghanistan,Dubai (DICS)
1/22/2017,South Africa,Sri Lanka,Sri Lanka,Johannesburg
1/25/2017,South Africa,Sri Lanka,Sri Lanka,Cape Town
1/26/2017,India,England,England,Kanpur
1/29/2017,India,England,India,Nagpur
2/1/2017,India,England,India,Bengaluru
2/17/2017,Australia,Sri Lanka,Sri Lanka,Melbourne
2/17/2017,New Zealand,South Africa,South Africa,Auckland
2/19/2017,Australia,Sri Lanka,Sri Lanka,Geelong
2/22/2017,Australia,Sri Lanka,Australia,Adelaide
3/8/2017,Afghanistan,Ireland,Afghanistan,Greater Noida
3/10/2017,Afghanistan,Ireland,Afghanistan,Greater Noida
3/12/2017,Afghanistan,Ireland,Afghanistan,Greater Noida
3/26/2017,West Indies,Pakistan,Pakistan,Bridgetown
3/30/2017,West Indies,Pakistan,Pakistan,Port of Spain
4/1/2017,West Indies,Pakistan,West Indies,Port of Spain
4/2/2017,West Indies,Pakistan,Pakistan,Port of Spain
4/4/2017,Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS)
4/6/2017,Sri Lanka,Bangladesh,Bangladesh,Colombo (RPS)
4/12/2017,U.A.E.,P.N.G.,U.A.E.,Abu Dhabi
4/14/2017,U.A.E.,P.N.G.,U.A.E.,Abu Dhabi
4/14/2017,U.A.E.,P.N.G.,U.A.E.,Abu Dhabi
6/2/2017,West Indies,Afghanistan,West Indies,Basseterre
6/3/2017,West Indies,Afghanistan,West Indies,Basseterre
6/5/2017,West Indies,Afghanistan,West Indies,Basseterre
6/21/2017,England,South Africa,England,Southampton
6/23/2017,England,South Africa,South Africa,Taunton
6/25/2017,England,South Africa,England,Cardiff
7/9/2017,West Indies,India,West Indies,Kingston
9/6/2017,Sri Lanka,India,India,Colombo (RPS)
9/12/2017,Pakistan,World-XI,Pakistan,Lahore
9/13/2017,Pakistan,World-XI,World-XI,Lahore
9/15/2017,Pakistan,World-XI,Pakistan,Lahore
9/16/2017,England,West Indies,West Indies,Chester-le-Street
10/7/2017,India,Australia,India,Ranchi
10/10/2017,India,Australia,Australia,Guwahati
10/26/2017,Pakistan,Sri Lanka,Pakistan,Abu Dhabi
10/26/2017,South Africa,Bangladesh,South Africa,Bloemfontein
10/27/2017,Pakistan,Sri Lanka,Pakistan,Abu Dhabi
10/29/2017,Pakistan,Sri Lanka,Pakistan,Lahore
10/29/2017,South Africa,Bangladesh,South Africa,Potchefstroom
11/1/2017,India,New Zealand,India,Delhi
11/4/2017,India,New Zealand,New Zealand,Rajkot
11/7/2017,India,New Zealand,India,Thiruvananthapuram
12/20/2017,India,Sri Lanka,India,Cuttack
12/22/2017,India,Sri Lanka,India,Indore
12/24/2017,India,Sri Lanka,India,Wankhede
12/29/2017,New Zealand,West Indies,New Zealand,Nelson
1/1/2018,New Zealand,West Indies,tied,Mount Maunganui
1/3/2018,New Zealand,West Indies,New Zealand,Mount Maunganui
1/22/2018,New Zealand,Pakistan,New Zealand,Wellington
1/25/2018,New Zealand,Pakistan,Pakistan,Auckland
1/28/2018,New Zealand,Pakistan,Pakistan,Mount Maunganui
2/3/2018,Australia,New Zealand,Australia,Sydney
2/5/2018,Afghanistan,Zimbabwe,Afghanistan,Sharjah
2/6/2018,Afghanistan,Zimbabwe,Afghanistan,Sharjah
2/7/2018,Australia,England,Australia,Hobart
2/10/2018,Australia,England,Australia,Melbourne
2/13/2018,New Zealand,England,New Zealand,Wellington
2/15/2018,Bangladesh,Sri Lanka,Sri Lanka,Mirpur
2/16/2018,New Zealand,Australia,Australia,Auckland
2/18/2018,South Africa,India,India,Johannesburg
2/18/2018,Bangladesh,Sri Lanka,Sri Lanka,Sylhet
2/18/2018,New Zealand,England,England,Hamilton
2/21/2018,South Africa,India,South Africa,Centurion
2/21/2018,New Zealand,Australia,Australia,Auckland
2/24/2018,South Africa,India,India,Cape Town
3/6/2018,Sri Lanka,India,Sri Lanka,Colombo (RPS)
3/8/2018,Bangladesh,India,India,Colombo (RPS)
3/10/2018,Sri Lanka,Bangladesh,Bangladesh,Colombo (RPS)
3/12/2018,Sri Lanka,India,India,Colombo (RPS)
3/14/2018,Bangladesh,India,India,Colombo (RPS)
3/16/2018,Sri Lanka,Bangladesh,Bangladesh,Colombo (RPS)
3/18/2018,Bangladesh,India,India,Colombo (RPS)
4/1/2018,Pakistan,West Indies,Pakistan,Karachi
4/2/2018,Pakistan,West Indies,Pakistan,Karachi
4/3/2018,Pakistan,West Indies,Pakistan,Karachi
5/31/2018,ICC World XI,West Indies,West Indies,Lord's
6/3/2018,Afghanistan,Bangladesh,Afghanistan,Dehradun
6/5/2018,Afghanistan,Bangladesh,Afghanistan,Dehradun
6/7/2018,Afghanistan,Bangladesh,Afghanistan,Dehradun
6/12/2018,Netherlands,Ireland,Netherlands,Rotterdam
6/12/2018,Scotland,Pakistan,Pakistan,Edinburgh
6/13/2018,Netherlands,Ireland,Netherlands,Rotterdam
6/13/2018,Scotland,Pakistan,Pakistan,Edinburgh
6/16/2018,Ireland,Scotland,Ireland,Deventer
6/17/2018,Ireland,Scotland,tied,Deventer
6/19/2018,Netherlands,Scotland,Scotland,Amstelveen
6/20/2018,Netherlands,Scotland,Scotland,Amstelveen
6/27/2018,England,Australia,England,Birmingham
6/27/2018,Ireland,India,India,Dublin (Malahide)
6/29/2018,Ireland,India,India,Dublin (Malahide)
7/1/2018,Zimbabwe,Pakistan,Pakistan,Harare
7/2/2018,Australia,Pakistan,Australia,Harare
7/3/2018,England,India,India,Manchester
7/3/2018,Zimbabwe,Australia,Australia,Harare
7/4/2018,Zimbabwe,Pakistan,Pakistan,Harare
7/5/2018,Australia,Pakistan,Pakistan,Harare
7/6/2018,England,India,England,Cardiff
7/6/2018,Zimbabwe,Australia,Australia,Harare
7/8/2018,England,India,India,Bristol
7/8/2018,Australia,Pakistan,Pakistan,Harare
7/29/2018,Nepal,Netherlands,tied,Lord's
7/31/2018,West Indies,Bangladesh,West Indies,Basseterre
8/4/2018,Bangladesh,West Indies,Bangladesh,Lauderhill
8/5/2018,Bangladesh,West Indies,Bangladesh,Lauderhill
8/14/2018,Sri Lanka,South Africa,Sri Lanka,Colombo (RPS)
8/20/2018,Ireland,Afghanistan,Afghanistan,Bready
8/22/2018,Ireland,Afghanistan,Afghanistan,Bready
10/9/2018,South Africa,Zimbabwe,South Africa,East London
10/12/2018,South Africa,Zimbabwe,South Africa,Potchefstroom
10/22/2018,U.A.E.,Australia,Australia,Abu Dhabi
10/24/2018,Australia,Pakistan,Pakistan,Abu Dhabi
10/26/2018,Australia,Pakistan,Pakistan,Dubai (DICS)
10/27/2018,Sri Lanka,England,England,Colombo (RPS)
10/28/2018,Australia,Pakistan,Pakistan,Dubai (DICS)
10/31/2018,New Zealand,Pakistan,Pakistan,Abu Dhabi
11/2/2018,New Zealand,Pakistan,Pakistan,Dubai (DICS)
11/4/2018,New Zealand,Pakistan,Pakistan,Dubai (DICS)
11/4/2018,India,West Indies,India,Eden Gardens
11/6/2018,India,West Indies,India,Lucknow
11/11/2018,India,West Indies,India,Chennai
11/17/2018,Australia,South Africa,South Africa,Carrara
11/21/2018,Australia,India,Australia,Brisbane
11/23/2018,Australia,India,tied,Melbourne
11/25/2018,Australia,India,India,Sydney
12/17/2018,Bangladesh,West Indies,West Indies,Sylhet
12/20/2018,Bangladesh,West Indies,Bangladesh,Mirpur
12/22/2018,Bangladesh,West Indies,West Indies,Mirpur
1/11/2019,New Zealand,Sri Lanka,New Zealand,Auckland
1/20/2019,Bahrain,Saudi Arabia,Bahrain,Al Amerat
1/20/2019,Kuwait,Maldives,Kuwait,Al Amerat
1/21/2019,Bahrain,Maldives,Bahrain,Al Amerat
1/21/2019,Qatar,Saudi Arabia,Qatar,Al Amerat
1/22/2019,Kuwait,Qatar,tied,Al Amerat
1/22/2019,Maldives,Saudi Arabia,Saudi Arabia,Al Amerat
1/23/2019,Maldives,Qatar,Qatar,Al Amerat
1/23/2019,Bahrain,Kuwait,Kuwait,Al Amerat
1/24/2019,Qatar,Saudi Arabia,Saudi Arabia,Al Amerat
1/24/2019,Kuwait,Saudi Arabia,Saudi Arabia,Al Amerat
1/24/2019,Bahrain,Qatar,Qatar,Al Amerat
1/31/2019,U.A.E.,Nepal,U.A.E.,ICCA Dubai
2/1/2019,South Africa,Pakistan,South Africa,Cape Town
2/1/2019,U.A.E.,Nepal,Nepal,ICCA Dubai
2/3/2019,South Africa,Pakistan,South Africa,Johannesburg
2/3/2019,U.A.E.,Nepal,Nepal,ICCA Dubai
2/6/2019,South Africa,Pakistan,Pakistan,Centurion
2/6/2019,New Zealand,India,New Zealand,Wellington
2/8/2019,New Zealand,India,India,Auckland
2/10/2019,New Zealand,India,New Zealand,Hamilton
2/13/2019,Oman,Ireland,Ireland,Al Amerat
2/13/2019,Netherlands,Scotland,Netherlands,Al Amerat
2/15/2019,Ireland,Scotland,Scotland,Al Amerat
2/15/2019,Oman,Netherlands,Netherlands,Al Amerat
2/17/2019,Oman,Scotland,Scotland,Al Amerat
2/17/2019,Ireland,Netherlands,Ireland,Al Amerat
2/21/2019,Afghanistan,Ireland,Afghanistan,Dehradun
2/23/2019,Afghanistan,Ireland,Afghanistan,Dehradun
2/24/2019,India,Australia,Australia,Visakhapatnam
2/24/2019,Afghanistan,Ireland,Afghanistan,Dehradun
2/27/2019,India,Australia,Australia,Bengaluru
3/5/2019,West Indies,England,England,Gros Islet
3/8/2019,West Indies,England,England,Basseterre
3/10/2019,West Indies,England,England,Basseterre
3/15/2019,U.A.E.,U.S.A.,tied,ICCA Dubai
3/16/2019,U.A.E.,U.S.A.,U.A.E.,ICCA Dubai
3/19/2019,South Africa,Sri Lanka,tied,Cape Town
3/22/2019,South Africa,Sri Lanka,South Africa,Centurion
3/22/2019,P.N.G.,Vanuatu,P.N.G.,Port Moresby
3/22/2019,P.N.G.,Philippines,P.N.G.,Port Moresby
3/23/2019,P.N.G.,Philippines,tied,Port Moresby
3/23/2019,Philippines,Vanuatu,Vanuatu,Port Moresby
3/24/2019,South Africa,Sri Lanka,South Africa,Johannesburg
3/24/2019,P.N.G.,Vanuatu,P.N.G.,Port Moresby
3/24/2019,Philippines,Vanuatu,Philippines,Port Moresby
3/29/2019,Spain,Malta,Spain,Cartagena
3/30/2019,Spain,Malta,Spain,Cartagena
4/25/2019,Costa Rica,Panama,Panama,Naucalpan
4/25/2019,Mexico,Belize,Belize,Naucalpan
4/26/2019,Belize,Panama,Belize,Naucalpan
4/26/2019,Mexico,Costa Rica,Mexico,Naucalpan
4/27/2019,Mexico,Panama,Panama,Naucalpan
4/27/2019,Belize,Costa Rica,Belize,Naucalpan
5/5/2019,England,Pakistan,England,Cardiff
5/11/2019,Belgium,Germany,Germany,Waterloo
5/11/2019,Belgium,Germany,Germany,Waterloo
5/12/2019,Belgium,Germany,Germany,Waterloo
5/20/2019,Ghana,Namibia,Namibia,Kampala
5/20/2019,Uganda,Botswana,Uganda,Kampala
5/20/2019,Kenya,Nigeria,Kenya,Kampala
5/21/2019,Botswana,Nigeria,Nigeria,Kampala
5/21/2019,Ghana,Kenya,Kenya,Kampala
5/21/2019,Uganda,Namibia,Namibia,Kampala
5/22/2019,Botswana,Namibia,Namibia,Kampala
5/22/2019,Uganda,Kenya,Kenya,Kampala
5/22/2019,Ghana,Nigeria,Nigeria,Kampala
5/23/2019,Uganda,Ghana,Uganda,Kampala
5/25/2019,Germany,Italy,Italy,Utrecht
5/25/2019,Germany,Italy,Italy,Utrecht
5/31/2019,Guernsey,Jersey,tied,St Peter Port
6/1/2019,Guernsey,Jersey,Jersey,Castel
6/1/2019,Guernsey,Jersey,Jersey,Castel
6/15/2019,Guernsey,Germany,Germany,Castel
6/15/2019,Guernsey,Jersey,Jersey,Castel
6/15/2019,Italy,Norway,Italy,St Peter Port
6/16/2019,Guernsey,Italy,Italy,St Peter Port
6/16/2019,Jersey,Norway,Jersey,Castel
6/16/2019,Germany,Italy,Italy,St Peter Port
6/16/2019,Denmark,Jersey,Jersey,Castel
6/17/2019,Denmark,Norway,Denmark,Castel
6/18/2019,Denmark,Italy,tied,Castel
6/18/2019,Guernsey,Denmark,tied,Castel
6/19/2019,Italy,Jersey,Jersey,St Peter Port
6/19/2019,Denmark,Germany,Germany,Castel
6/19/2019,Guernsey,Norway,Guernsey,Castel
6/20/2019,Denmark,Italy,Denmark,Castel
6/20/2019,Germany,Jersey,Germany,St Peter Port
6/20/2019,Guernsey,Denmark,Guernsey,Castel
6/20/2019,Germany,Norway,Germany,St Peter Port
6/23/2019,Netherlands,Zimbabwe,Netherlands,Rotterdam
6/24/2019,Malaysia,Thailand,Malaysia,Kuala Lumpur
6/25/2019,Netherlands,Zimbabwe,tied,Rotterdam
6/25/2019,Malaysia,Maldives,Malaysia,Kuala Lumpur
6/26/2019,Maldives,Thailand,Maldives,Kuala Lumpur
6/27/2019,Malaysia,Thailand,Malaysia,Kuala Lumpur
6/28/2019,Malaysia,Maldives,tied,Kuala Lumpur
6/29/2019,Maldives,Thailand,Thailand,Kuala Lumpur
7/4/2019,Qatar,Kuwait,Kuwait,Doha
7/5/2019,Qatar,Kuwait,tied,Doha
7/6/2019,Qatar,Kuwait,Qatar,Doha
7/8/2019,Samoa,P.N.G.,P.N.G.,Apia (No 1)
7/9/2019,P.N.G.,Vanuatu,P.N.G.,Apia (No 3)
7/9/2019,Samoa,Vanuatu,Samoa,Apia (No 1)
7/10/2019,Samoa,P.N.G.,P.N.G.,Apia (No 2)
7/12/2019,Ireland,Zimbabwe,Ireland,Bready
7/12/2019,P.N.G.,Vanuatu,P.N.G.,Apia (No 2)
7/12/2019,Samoa,Vanuatu,Vanuatu,Apia (No 3)
7/13/2019,Denmark,Finland,Denmark,Brondby
7/13/2019,Denmark,Finland,Denmark,Brondby
7/13/2019,Malaysia,Nepal,Nepal,Kuala Lumpur
7/13/2019,P.N.G.,Vanuatu,P.N.G.,Apia (No 2)
7/14/2019,Ireland,Zimbabwe,Zimbabwe,Bready
7/14/2019,Malaysia,Nepal,Nepal,Kuala Lumpur
7/22/2019,Kuwait,Malaysia,Malaysia,Singapore
7/22/2019,Singapore,Qatar,Singapore,Singapore
7/23/2019,Nepal,Qatar,Qatar,Singapore
7/24/2019,Malaysia,Nepal,Nepal,Singapore
7/26/2019,Singapore,Malaysia,Singapore,Singapore
7/26/2019,Kuwait,Qatar,Kuwait,Singapore
7/27/2019,Malaysia,Qatar,Qatar,Singapore
7/27/2019,Kuwait,Nepal,Nepal,Singapore
7/28/2019,Singapore,Nepal,Singapore,Singapore
8/3/2019,India,West Indies,India,Lauderhill
8/3/2019,Netherlands,U.A.E.,U.A.E.,Amstelveen
8/4/2019,India,West Indies,India,Lauderhill
8/5/2019,Netherlands,U.A.E.,U.A.E.,Amstelveen
8/6/2019,West Indies,India,India,Providence
8/6/2019,Netherlands,U.A.E.,U.A.E.,The Hague
8/8/2019,Netherlands,U.A.E.,U.A.E.,The Hague
8/17/2019,Finland,Spain,Spain,Kerava
8/17/2019,Finland,Spain,Finland,Kerava
8/18/2019,Canada,Cayman Is,Canada,Sandys Parish
8/18/2019,Bermuda,U.S.A.,Bermuda,Sandys Parish
8/18/2019,Finland,Spain,Spain,Kerava
8/19/2019,Cayman Is,U.S.A.,U.S.A.,Hamilton
8/19/2019,Bermuda,Canada,tied,Hamilton
8/19/2019,Namibia,Botswana,Namibia,Windhoek
8/20/2019,Namibia,Botswana,Namibia,Windhoek
8/21/2019,Canada,U.S.A.,Canada,Sandys Parish
8/21/2019,Bermuda,Cayman Is,Bermuda,Sandys Parish
8/22/2019,Bermuda,U.S.A.,Bermuda,Sandys Parish
8/22/2019,Canada,Cayman Is,Canada,Sandys Parish
8/22/2019,Namibia,Botswana,Namibia,Windhoek
8/23/2019,Namibia,Botswana,Namibia,Windhoek
8/24/2019,Bermuda,Canada,Canada,Sandys Parish
8/24/2019,Cayman Is,U.S.A.,U.S.A.,Sandys Parish
8/25/2019,Bermuda,Cayman Is,Bermuda,Sandys Parish
8/25/2019,Canada,U.S.A.,Canada,Sandys Parish
8/29/2019,Romania,Turkey,Romania,Ilfov County
8/29/2019,Luxembourg,Turkey,Luxembourg,Ilfov County
8/29/2019,Romania,Austria,Romania,Ilfov County
8/30/2019,Czech Rep.,Turkey,Czech Rep.,Ilfov County
8/30/2019,Romania,Luxembourg,Romania,Ilfov County
8/30/2019,Austria,Czech Rep.,Austria,Ilfov County
8/31/2019,Austria,Turkey,Austria,Ilfov County
8/31/2019,Romania,Czech Rep.,Czech Rep.,Ilfov County
8/31/2019,Austria,Luxembourg,Austria,Ilfov County
9/1/2019,Sri Lanka,New Zealand,New Zealand,Pallekele
9/1/2019,Austria,Czech Rep.,Austria,Ilfov County
9/1/2019,Czech Rep.,Luxembourg,Czech Rep.,Ilfov County
9/3/2019,Sri Lanka,New Zealand,New Zealand,Pallekele
9/6/2019,Sri Lanka,New Zealand,Sri Lanka,Pallekele
9/13/2019,Bangladesh,Zimbabwe,Bangladesh,Mirpur
9/14/2019,Afghanistan,Zimbabwe,Afghanistan,Mirpur
9/15/2019,Bangladesh,Afghanistan,Afghanistan,Mirpur
9/16/2019,Netherlands,Scotland,Scotland,Dublin (Malahide)
9/17/2019,Ireland,Scotland,Ireland,Dublin (Malahide)
9/18/2019,India,South Africa,India,Mohali
9/18/2019,Bangladesh,Zimbabwe,Bangladesh,Chattogram
9/18/2019,Ireland,Netherlands,Netherlands,Dublin (Malahide)
9/19/2019,Netherlands,Scotland,Scotland,Dublin (Malahide)
9/20/2019,Afghanistan,Zimbabwe,Zimbabwe,Chattogram
9/20/2019,Ireland,Scotland,Ireland,Dublin (Malahide)
9/21/2019,Bangladesh,Afghanistan,Bangladesh,Chattogram
9/22/2019,India,South Africa,South Africa,Bengaluru
9/27/2019,Nepal,Zimbabwe,Zimbabwe,Singapore
9/28/2019,Singapore,Nepal,Nepal,Singapore
9/29/2019,Singapore,Zimbabwe,Singapore,Singapore
9/29/2019,Malaysia,Vanuatu,Vanuatu,Kuala Lumpur
10/1/2019,Nepal,Zimbabwe,Zimbabwe,Singapore
10/1/2019,Malaysia,Vanuatu,Vanuatu,Kuala Lumpur
10/2/2019,Malaysia,Vanuatu,Malaysia,Kuala Lumpur
10/3/2019,Peru,Brazil,Peru,Cortijo Polo Club Pitch A
10/3/2019,Brazil,Chile,Brazil,Cortijo Polo Club Pitch B
10/3/2019,Argentina,Mexico,Argentina,Cortijo Polo Club Pitch A
10/3/2019,Singapore,Zimbabwe,Zimbabwe,Singapore
10/3/2019,Malaysia,Vanuatu,Vanuatu,Kuala Lumpur
10/4/2019,Argentina,Brazil,Argentina,Cortijo Polo Club Pitch A
10/4/2019,Peru,Argentina,Argentina,Cortijo Polo Club Pitch B
10/4/2019,Chile,Mexico,Chile,Cortijo Polo Club Pitch A
10/4/2019,Malaysia,Vanuatu,Malaysia,Kuala Lumpur
10/5/2019,Brazil,Mexico,Mexico,Cortijo Polo Club Pitch B
10/5/2019,Peru,Chile,Peru,Cortijo Polo Club Pitch A
10/5/2019,Pakistan,Sri Lanka,Sri Lanka,Lahore
10/5/2019,Argentina,Chile,Argentina,Cortijo Polo Club Pitch A
10/5/2019,Peru,Mexico,Mexico,Cortijo Polo Club Pitch B
10/5/2019,Ireland,Netherlands,Ireland,Al Amerat
10/5/2019,Oman,Hong Kong,Oman,Al Amerat
10/6/2019,Argentina,Mexico,Argentina,Lima Cricket and Football
10/6/2019,Hong Kong,Nepal,Nepal,Al Amerat
10/6/2019,Oman,Ireland,Oman,Al Amerat
10/7/2019,Pakistan,Sri Lanka,Sri Lanka,Lahore
10/7/2019,Hong Kong,Ireland,Ireland,Al Amerat
10/7/2019,Nepal,Netherlands,Nepal,Al Amerat
10/9/2019,Qatar,Jersey,Qatar,Doha
10/9/2019,Pakistan,Sri Lanka,Sri Lanka,Lahore
10/9/2019,Oman,Netherlands,Oman,Al Amerat
10/9/2019,Ireland,Nepal,Ireland,Al Amerat
10/10/2019,Qatar,Jersey,Qatar,Doha
10/10/2019,Oman,Nepal,Oman,Al Amerat
10/10/2019,Hong Kong,Netherlands,Netherlands,Al Amerat
10/11/2019,Qatar,Jersey,Qatar,Doha
10/14/2019,Bulgaria,Serbia,Bulgaria,Corfu
10/15/2019,Greece,Serbia,Greece,Corfu
10/16/2019,Greece,Bulgaria,Greece,Corfu
10/18/2019,U.A.E.,Oman,Oman,Abu Dhabi
10/18/2019,Greece,Bulgaria,Bulgaria,Corfu
10/18/2019,Hong Kong,Ireland,Ireland,Abu Dhabi
10/18/2019,Kenya,Netherlands,Netherlands,ICCA Dubai
10/18/2019,Malta,Czech Rep.,Czech Rep.,Marsa
10/18/2019,Scotland,Singapore,Singapore,ICCA Dubai
10/19/2019,U.A.E.,Ireland,U.A.E.,Abu Dhabi
10/19/2019,Jersey,Nigeria,Jersey,Abu Dhabi
